,recipe,ingredients
1793,Mtn Dewï¿½ï¿½ Livewireï¿½ï¿½ Soda 2 L Bottle,"Carbonated Water,High Fructose Corn Syrup,Natural and Artificial Flavor,Orange Juice Concentrate,Citric Acid,Sodium Benzoate (Preserves Freshness),Caffeine,Sodium Citrate,Yellow 6,Calcium Disodium EDTA (to Protect Flavor),Gum Arabic,Brominated Vegetable Oil,Yellow 5,Red 40."
1794,"El Pico Espresso Ground Coffee, 10 Oz","100 Pure Coffee. Vacuum packed,The freshness,aroma and natural flavor of roasted coffee,Kosher"
1795,"Diet Squirt Ruby Red, 2 L","Natural Flavors,Concentrated Ruby Red Grapefruit Juice,Citric Acid,Aspartame,Modified Food Starch,Sodium Benzoate (Preservative),Malic Acid,Caffeine,Acesulfame Potassium,Sodium Citrate,Ester Gum,Red 40,Brominated Vegetable Oil,Calcium Disodium Edta (Preservative),."
1796,House-autry Yellow Self-rising Corn Meal Mix 2 Lb. Bag,"Enriched Whole Grain Yellow Corn Meal (Corn, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Enriched Bleached Wheat Flour (Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Salt,Sodium Bicarbonate,Monocalcium Phosphate,Sodium Aluminum Phosphate."
1797,Annie's Naturals Dressing,"Water,Expeller Pressed Vegetable Oil (Organic Ingredients),(Soy, Canola and/or Sunflower),(Organic Ingredients),Apple Cider Vinegar (Organic Ingredients),Cultured Buttermilk (Organic Ingredients),Sea Salt,Cane Sugar (Organic Ingredients),Garlic (Organic Ingredients),Whole Egg (Organic Ingredients),Onion (Organic Ingredients),Lemon Juice Concentrate (Organic Ingredients),Mustard Flour (Organic Ingredients),Tarragon (Organic Ingredients),Xanthan Gum,White Pepper (Organic Ingredients),Chives (Organic Ingredients),Parsley (Organic Ingredients),."
1798,"Tombstone Cheese Stuffed Crust Pepperoni Pizza, 27.34 Oz","Enriched Wheat Flour (Wheat Flour Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Water,Low-Moisture Part-Skim Mozzarella Cheese (Part-Skim Milk, Cheese Culture, Salt, Enzymes),Part-Skim Mozzarella Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes),Pepperoni Made With Pork,Chicken and Beef (Pork, Mechanically Separated Chicken, Beef, Salt, Contains 2% Or Less of Pork Stock, Spices, Dextrose, Lactic Acid Starter Culture, Oleoresin of Paprika, Flavoring, Sodium Ascorbate, Sodium Nitrate, BHA, BHT, Citric Acid, May Also Contain Paprika, Natural Smoke Flavor),Tomato Paste,Contains 2% Or Less of Vegetable Oil (Soybean Oil and/Or Corn Oil),Sugar,Yeast,Salt,Modified Food Starch,Seasoning Blend (Salt, Spice, Dried Garlic),Dough Conditioner"
1799,"Reese's Crispy Crunchy King Size Candy Bar, 3.1 Oz","Sugar,Peanuts,Corny Syrup,Vegetable Oil (Cocoa Butter, Palm Kernel, Palm, Shea, Sunflower and/Or Safflower Oil),Chocolate,Milk,Contains 2% Or Less of: Lactose (Milk),Molasses,Cocoa,Whey (Milk),Milk Fat,Nonfat Milk,Salt,Soy Lecithin,Pgpr,Emulsifier,Artificial Flavor,Tbhq (Preservative),. Manufactured On The Same Equipment That Processes Coconut."
1800,"Tide Detergent, Original Scent, 300 fl oz (2.34 gal) 8.87 lt","Biodegradeable Surfactants (Anionic and Nonionic),and Enzymes."
1802,"Diet Rc Cola, 12 Fl Oz, 12 Pack","Carbonated Water,Caramel Color,Phosphoric Acid,Potassium Citrate,Sucralose,Citric Acid,Acacia Gum,Potassium Benzoate(Protects Flavor),Caffeine,Natural Flavors,Sodium Citrate,Sodium Benzoate And Potassium Sorbate (Preservatives),."
1803,M&M'S Peanut Butter Chocolate Candy Singles Size 1.63-Ounce Pouch 24-Count Box,"Milk Chocolate (Sugar, Cocoa Butter, Chocolate, Skim Milk, Milkfat, Lactose, Peanuts, Soy Lecithin, Salt, Artificial Flavors),Peanut Butter (Partially Defatted Peanuts),Sugar,Partially Hydrogenated Palm Kernel Oil,Peanut Flour,Cornstarch,Dextrose,Less than 1% - Corn Syrup,Natural Flavors,Salt,Dextrin,Coloring (Includes Blue 1 Lake, Red 40, Yellow 6, Yellow 5, Blue 1, Red 40 Lake, Yellow 6 Lake, Yellow 5 Lake, Blue 2, Blue 2 Lake),Propyl Gallate to Maintain Freshness,Gum Acacia."
1804,"Purina Friskies Indoor Pate Cat Food Salmon Dinner with Garden Greens, 5.5 OZ","Water,sufficient for processing,Salmon,Meat By-Products,Liver,Rice,Corn Bran,Artificial and Natural Flavors,Spinach,Chicken,Rice Flour,Tricalcium Phosphate,Guar Gum,Parsley,Added Color,Potassium Chloride,Carrageenan,Salt,Taurine,Dl-Methionine,Choline Chloride,Thiamine Mononitrate,Zinc Sulfate,Ferrous Sulfate,Vitamin E Supplement,Niacin,Copper Sulfate,Manganese Sulfate,Calcium Pantothenate,Vitamin A Supplement,Menadione Sodium,Bisulfite Complex (source of Vitamin K Activity),Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin B-12 Supplement,Biotin,Folic Acid,Vitamin D-3 Supplement,Potassium Iodide."
1805,Purina Cat Chow Naturals Original Plus Vitamins _ Minerals Cat Food 16 oz. Pouch,"Chicken By-Product Meal,Corn Gluten Meal,Soy Flour,Ground Whole Wheat,Brewers Rice,Animal Fat Preserved with Mixed-Tocopherols,Corn Meal,Natural Flavor,Chicken,Salmon,Phosphoric Acid,Salt,Calcium Carbonate,Dried Spinach,Choline Chloride,Taurine,Vitamin E Supplement,Zinc Sulfate,Ferrous Sulfate,Manganese Sulfate,Potassium Chloride,Niacin,Copper Sulfate,Vitamin A Supplement,Calcium Pantothenate,Thiamine Mononitrate,Riboflavin Supplement,Vitamin B-12 Supplement,Pyridoxine Hydrochloride,Folic Acid,Vitamin D-3 Supplement,Calcium Iodate,Biotin,Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity,),Sodium Selenite. F-4521."
1806,"Lay's Cheesy Garlic Bread Flavored, Potato Chips, 9.5 oz (269.3 g)","Potatoes,Vegetable Oil (Sunflower, Corn, and/or Canola Oil),Cheesy Garlic Bread Seasoning (Maltodextrin Made from Corn, Salt, Whey, Natural Flavors, Garlic Powder, Cream, Cheddar Cheese Milk, Cheese Cultures, Salt, Enzymes, Sunflower Oil, Parmesan Cheese Milk, Cheese Cultures, Salt, Enzymes, Canola Oil, Yeast Extract, Butter Cream, Salt, Spice, Swiss Cheese Milk, Cheese Cultures, Salt, Enzymes, Monterey Jack Cheese Milk, Cheese Cultures, Salt, Enzymes, Gouda Cheese Milk, Cheese Cultures, Salt, Enzymes, and Paprika Extracts),."
1807,"Godiva Wrapped Milk Chocolate Caramels, 3.5 Ounce","Milk Chocolate (Sugar, Cocoa Butter, Unsweetened Chocolate, Skim Milk, Milk, Butteroil, Soy Lecithin (Emulsifier), Natural Flavor),Corn Syrup,Invert Sugar,Milk Evaporated Milk (Vitamin D),Sugar,Heavy Cream,Partially Hydrogenated Palm Kernel Oil,Soy Lecithin (Emulsifier),Brown Sugar,Cocoa Butter,Salt,Natural Flavor,Soy Lecithin (Emulsifier),."
1808,"International Collection Flavored Olive Oil, Garlic, 8.45 Fl Oz","Olive Oil,Natural Extracts of Garlic.,Natural Extracts of Garlic. Produced In A Facility That Handles Tree Nuts And Peanut Oils."
1809,"Cento Ceci Beans Chick Peas, 19 Ounce (Pack of 12)","Chick Peas,Water,and Salt,Disodium EDTA added as a preservative."
1810,"Victoria Marinated Mushrooms, 8.0 FL OZ","Mushrooms,Filtered Water,Vinegar,Italian Olive Oil/Canola Oil,Sea Salt,Garlic,Spices,1/10 of 1% Benzoate of Soda,Potassium Sorbate (as a Preservative),Sodium Bisulfite (to Retain Color),and FD&C Yellow #5."
1811,"Goya Cola Champagne, 12 oz","Carbonated Water,High Fructose Corn Syrup,Artificial Flavor,FD&C Yellow #6,FD&C Yellow #5,Citric Acid.,FDC Yellow 6,FDC Yellow 5"
1812,"Pioneer All Purpose Flour, 5 lbs","Enriched Bleached Flour (Wheat Flour,Niacin,Reduced Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),."
1814,"Nabisco Nilla Pie Crust, 6.0 OZ","Enriched Flour (Wheat Flour,Niacin,Reduced Iron,Thiamine Mononitrate {Vitamin B1},Riboflavin {Vitamin B2},Folic Acid),Sugar,Palm and/or Soybean Oil,High Fructose Corn Syrup,Partially Hydrogenated Cottonseed Oil,Whey (From Milk),Eggs,Salt,Leavening (Baking Soda,Calcium Phosphate),Mono-and Diglycerides (Emulsifier),Cornstarch,Natural And Artificial Flavor,TBHQ and Citric Acid added to preserve freshness."
1815,Martha White Plain Enriched Yellow Corn Meal,"Enriched Degerminated Yellow Corn Meal (Degerminated Yellow Corn Meal,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid)."
1816,"Martha White Self-Rising Corn Meal Mix, 32.0 OZ","Enriched White Corn Meal,Wheat Flour and Degerminated White Corn Meal (White Corn Meal,Wheat Flour,Degerminated White Corn Meal,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid); Baking Powder (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate); Salt."
1817,"Diet 7UP, 20 fl oz","FILTERED CARBONATED WATER,CITRIC ACID,POTASSIUM CITRATE,POTASSIUM BENZOATE (PRESERVATIVE),NATURAL FLAVORS,ASPARTAME,ACESULFAME POTASSIUM,CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR),Filtered Carbonated Water And Contains 2 Or Less of Each of The Following: Natural Flavors,Citric Acid,Potassium Citrate,Potassium Benzoate (Protects Flavor),Aspartame,Acesulfame Potassium,Calcium Disodium Edta (Protects Flavor),. Phenylketonurics: Contains Phenylalanine."
1818,"LaCroix Sparkling Water, Lemon, 12 Fl Oz, 12 Ct","Carbonated Water,Natural Flavor."
1819,"Zatarain's Fish Fri New Orleans Style Lemon Pepper Seafood Breading Mix, 12 oz","Enriched Corn Flour (Flour,Niacin,Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Salt,Spices (Including Red Pepper),Citric Acid,Corn Maltodextrin,Monosodium Glutamate (Flavor Enhancer),Garlic,Lemon Juice Concentrate,Onion and Sugar.,Enriched Corn Flour (Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Spice (Including Red Pepper),Onion,Lemon Puree,And Lemon Juice."
1822,"Lavazza Italy's Favorite Coffee Santa Marta 100% Arabica, Colombia Ground Coffee, 12.0 OZ","100% Arabica.,100 Arabica."
1823,Bob's Red Mill Whole Wheat Bread Mix 19 oz,"STONE GROUND WHOLE WHEAT FLOUR,VITAL WHEAT GLUTEN,SUNFLOWER SEEDS,DRY MOLASSES (MOLASSES,MALTODEXTRIN,SILICON DIOXIDE),DRY HONEY (MALTODEXTRIN,CORN SYRUP SOLIDS),HONEY),FLAXSEED,SEA SALT (MAGNESIUM CARBONATE) AND ACTIVE DRY YEAST."
1824,"Woodstock Organic Brown Sugar, 16.0 OZ","Organic Cane Sugar,Organic Molasses."
1825,"Fun Pack Foods Traditional Flavor Funnel Cake Mix, 9.6 oz","Enriched Malted Wheat Flour (Wheat Flour,Malted Barley Flour,Niacin,Reduced Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Sugar,Dextrose,Soy Flour,Wheat Gluten,Whey (Milk),Sodium Bicarbonate,Whole Egg,Salt,Sodium Aluminum Phosphate,Soybean Oil,Artificial Flavor. Contains Wheat,Egg,Dairy & Soy.,Enriched Malted Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Dairy Soy."
1826,"Mountain Dew, 20.0 FL OZ","Carbonated Water,High Fructose Corn Syrup,Concentrated Orange Juice,Citric Acid,Natural Flavor,Sodium Benzoate (Preserves Freshness),Caffeine,Sodium Citrate,Erythorbic Acid (Preserves Freshness),Gum Arabic,Calcium Disodium EDTA (to Protect Flavor),Brominated Vegetable Oil,Yellow 5."
1827,"Washington Chicken Breading Mix, 20.0 OZ","Enriched Bleached Flour (Wheat Flour,Niacin,Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Yellow Corn Flour,Salt,Spices,Natural Flavor,Onion Powder,Turmeric."
1828,"Pillsbury Apple Cinnamon Quick Bread _ Muffin Mix, 18.1 oz","Enriched Bleached Flour (Wheat Flour,Malted Barley Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid); Sugar; Water; Brown Sugar; Wheat Starch; Evaporated Apples (with Sulfur Dioxide to Protect Color); contains 2% or less of: Dextrose; Cinnamon; Canola Oil; Palm Oil; Leavening (Baking Soda,Sodium Acid Pyrophosphate,Calcium Phosphate); Modified Corn Starch; Corn Starch; Propylene Glycol Esters of Fatty Acids; Natural Flavor; Distilled Monoglycerides; Salt; Cellulose; Soybean Oil; Sodium Stearoyl-2-Lactylate; Spices; Malic Acid; Mono And Diglycerides; Ascorbic Acid; Sodium Benzoate (Preservative); Nonfat Dry Milk; Citric Acid,BHT,Ascorbyl Palmitate,Mixed Tocopherols,Chamomile and Rosemary Extracts (Antioxidants); Soy Lecithin.,Enriched Bleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid),Sugar Water Brown Sugar Wheat Starch Evaporated Apples (with Sulfur Dioxide to Protect Color),contains 2 or less of: Dextrose Cinnamon Canola Oil Palm Oil Leavening (Baking Soda, Sodium Acid Pyrophosphate, Calcium Phosphate),Modified Corn Starch Corn Starch Propylene Glycol Esters of Fatty Acids Natural Flavor Distilled Monoglycerides Salt Cellulose Soybean Oil Sodium Stearoyl-2-Lactylate Spices Malic Acid Mono And Diglycerides Ascorbic Acid Sodium Benzoate (Preservative),Nonfat Dry Milk Citric Acid,Chamomile and Rosemary Extracts (Antioxidants),Soy Lecithin."
1829,"Dentyne Fire Sugar-Free Gum, Spicy Cinnamon (16 ct per pack)","SORBITOL,MALTITOL,GUM BASE,ARTIFICIAL AND NATURAL FLAVORING,MANNITOL; LESS THAN 2% OF: ACACIA,ACESULFAME POTASSIUM,BHT (TO MAINTAIN FRESHNESS),BLUE 2 LAKE,CANDELILLA WAX,GLYCERIN,RED 40 LAKE,SOY LECITHIN,SUCRALOSE AND TITANIUM DIOXIDE (COLOR).,Sorbitol,Maltitol,Gum Base,Artificial and Natural Flavoring,Mannitol; Less than 2% of: Acacia,Acesulfame Potassium,BHT (to Maintain Freshness),Blue 2 Lake,Candelilla Wax,Glycerin,Red 40 Lake,Soy Lecithin,Sucralose and Titanium Dioxide (Color),."
1830,"Kikkoman Karaage Mix, 6 Oz","Potato Starch,Enriched Bleached Wheat Flour (Bleached Wheat Flour,Malted Barley Flour,Niacin,Reduced Iron,Thiamine Mononitrate,Riboflavin,Folic Acid),Wheat Flour,Dehydrated Soy Sauce (Soy Sauce [Soybeans,Wheat,Salt],Maltodextrin,Salt),Spice,Hydrogenated Palm Oil,Salt,Corn Starch,Yeast Extract,Silicon Dioxide."
1831,"Puroast Coffee Vanilla Ground Coffee, 40 oz","100% Roasted Coffee.,100 Roasted Coffee. 100 premium coffee,no additives,gluten free,calorie free,No sugar needed,gives you all of the coffee flavor without the bitterness,which is why you don't need sugar,7 times more antioxidants than green tea and 5 times more antioxidants than other coffees,70 less acidity compared to other leading coffees,which makes Puroast ideal for people with chronic heartburn,ulcers or acid reflux,Great tasting coffee any time of the day"
1832,Pyure Organic Stevia Packets,"ORGANIC AGAVE INULIN,ORGANIC STEVIA LEAF EXTRACT (REB A),NATURAL FLAVOR.,Organic Agave Inulin,Organic Reb A (Stevia Extract),Natural Flavor."
1833,"4C Light Half _ Half Iced Tea Lemonade Mix, 13.9 OZ","Maltodextrin,Citric Acid,Instant Tea,Natural Lemon Flavors,Ascorbic Acid (Vitamin C),Acesulfame Potassium,Sucralose,Caramel Color,Natural Lemon Juice Powder,FD&C Red #40.,FDC Red 40."
1834,"McCormick Hazelnut Flavor, 1.0 FL OZ","Water,Alcohol (10%),Natural Flavor,and Propylene Glycol."
1835,"Organic Coffee Company Ground Coffee, Java Love, 12 Oz, 1 Ct","Arabica Organic Coffee (Flavored Coffees Also Contain Natural Flavors).,Arabica Organic Coffee (Flavored Coffees Also Contain Natural Flavors),."
1836,"Martha White Sweet Yellow Cornbread _ Muffin Mix, 7 oz","Enriched Bleached Flour And Enriched Degerminated Yellow Corn Meal (Wheat Flour,Degerminated Yellow Corn Meal,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Sugar,Partially Hydrogenated Soybean Oil,Baking Powder (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate),Contains 2% Or Less of: Salt,Corn Starch. Contains Milk And Wheat Ingredients; May Contain Almond,Brazil Nut,Cashew,Egg,Hazelnut,Macadamia Nut,Pecan,Pine Nut,Pistachio Nut,Soybean And Walnut Ingredients.,Enriched Bleached Flour And Enriched Degerminated Yellow Corn Meal (Wheat Flour, Degerminated Yellow Corn Meal, Niacin, Iron,Thiamin Mononitrate, Riboflavin, Folic Acid),Baking Powder (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate)"
1837,Flavorganics Organic Chocolate Extract 2 fl oz,"Water,Organic Alcohol,Organic Agave Syrup,Organic Cocoa Powder."
1838,McCormick Produce PartnersÂ® Banana Smoothie Mix 2 oz.,"Sugar,Nonfat Dry Milk,Egg White Solids,Propylene Glycol Alginate (Thickener),Â and Natural Flavor."
1839,"Martha White Cotton Country Cornbread Mix, 6 oz","Enriched Degerminated White Corn Meal And Enriched Bleached Flour (Degerminated White Corn Meal,Wheat Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Partially Hydrogenated Soybean Oil,Dextrose,Baking Powder (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate),Buttermilk,Salt. Contains 2% Or Less of: Sugar,Soy Lecithin,Guar Gum,Nonfat Milk,Maltodextrin,Cellulose Gum,Corn Starch. Contains Milk,Soybean And Wheat Ingredients. May Contain Almond,Brazil Nut,Cashew,Egg,Hazelnut,Macadamia Nut,Pecan,Pine Nut,Pistachio Nut,Soybean And Walnut Ingredients."
1840,"Woodstock Organic Vegan Powdered Sugar, 16 Oz","Organic Cane Sugar,Organic Corn Starch (3%)."
1841,"Starbucks Coffee Cinnamon Dolce Hot Cocoa Mix, 1 oz","SUGAR,COCOA POWDER,SWEETENED DAIRY SOLIDS (SUGAR,MILK SOLIDS,MILK FAT),VANILLA POWDER,CINNAMON POWDER.,Sugar,Cocoa Powder,Sweetened Diary Solids (Sugar, Milk Solids, Milk Fat),Vanilla Powder,Cinnamon Powder. Manufactured On Shared Equipment Processing Peanuts,Tree Nuts,Eggs,Soy And Wheat/Gluten."
1842,"Pillsbury: Moist Supreme German Chocolate Cake Mix, 18.25 Oz","Sugar,Enriched Flour Bleached (Wheat Flour,Niacin,Iron,Thiamin Mononitrate,Riboflavin,Folic Acid),Partially Hydrogenated Vegetable Oil (Soybean And/Or Cottonseed Oil),Wheat Starch,Contains 2% Or Less Of Each Of The Following: Baking Powder (Baking Soda,Sodium Aluminum Phosphate,Monocalcium Phosphate),Cocoa Processed With Alkali,Corn Starch,Propylene Glycol Mono- And Diesters Of Fatty Acids,Mono- And Diglycerides,Salt,Carob Powder,Natural And Artificial Flavor,Cellulose,Caramel Color,Cellulose Gum,Xanthan Gum,Polysorbate 60,Soy Lecithin,Whey Protein Concentrate,Sodium Phosphate."
1843,Trident White Spearmint Sugar Free Gum - 16 Ea,"SORBITOL,GUM BASE,MALTITOL,MANNITOL,NATURAL AND ARTIFICIAL FLAVORING; LESS THAN 2% OF: ACACIA,ACESULFAME POTASSIUM,ASPARTAME,BHT (TO MAINTAIN FRESHNESS),CANDELILLA WAX,GLYCERIN,SODIUM STEARATE,SUCRALOSE,TITANIUM DIOXIDE (COLOR)."
1844,"Tic Tac, Orange Bottle Pack, 3.4 Oz","Sugar,Maltodextrin,Tartaric Acid,Natural and Artificial Flavors,Rice Starch,Gum Arabic,Magnesium Stearate,Ascorbic Acid,Yellow 6,Carnauba Wax."
1845,Pataks Simmer Sauce - Mango Curry - Mild - 15 oz - case of 6,"Water,Mango,Sugar,Cream,Onion,Canola Oil,Corn Starch,Spices,Vinegar,Concentrated Tomato Puree,Sea Salt,Garlic,Ginger,Turmeric and Paprika (Color),."
1846,Pataks Brinjal (Egg Plant) Relish 11 Oz,"Sugar,Canola Oil,Egg Plant (Aubergines),Chile Peppers,Salt,Mustard,Fenugreek,Coriander,Spices,Garlic,Turmeric (Color),Acetic Acid."
1847,"Caffe D'Vita Sugar Free French Vanilla Cappuccino Mix, 8.5-Ounce Canisters (Pack of 6)","Nondairy Creamer [Contains Non-Hydrogenated Coconut Oil,Corn Syrup Solids,Sodium Caseinate (a Milk Derivative),Dipotassium Phosphate (Aids Dissolving),Propylene Glycol Esters of Fatty Acids,Mono- and Diglycerides (Emulsifier),Sodium Silico Aluminate (Prevents Caking),Salt,Soy Lecithin,Carrageenan],Maltodextrin,Arabica Coffee,Cocoa (Dutch Processed),Natural and Artificial Flavor,Guar Gum,Calcium Caseinate,Silicon Dioxide (Prevents Caking),Acesulfame K,Sucralose (Spenda Brand)."
1848,"Plum Organics Tots Fruit and Grain Mish Mash Organic Whole Grain Snack, 3.17 oz","Organic Apple Puree,Organic Quinoa,Organic Milled Oats,Organic Cinnamon,Organic and Natural Flavors"
1849,"Gerber 2nd Foods Organic Fruit Apples _ Summer Peaches, 3.5 OZ","Organic Apples,Organic Peach Puree,Vitamin C (assorbic Acid)"
1850,"Inca Kola The Golden Kola, 67.6 Fl Oz","Carbonated Water,High Fructose Corn Syrup and/or Sucrose,Citric Acid,Sodium Benzoate (to protect taste),Caffeine,Artificial and Natural Flavors,Yellow 5."
1851,Dr Soda,"Carbonated Water,High Fructose Corn Syrup,Caramel Color,Phosphoric Acid,Natural And Artificial Flavors,Sodium Benzoate (Preservative),Caffeine."
1852,"The Coffee Bean & Tea Leaf Costa Rica La Cascada Tarrazu Medium Roast Ground Coffee, 12 Oz","100 Arabica Coffee. Medium-bodied,Fragrant aroma,Bright,crisp flavor"
1853,"Roland Blood Orange Glaze Made With Balsamic Vinegar of Modena, 12.9 Fl Oz","Balsamic Vinegar of Modena,Sugar,Dehydrated Glucose Syrup,Modified Corn Starch,Blood Orange Juice,Xanthan Gum Stabilizer,Natural Orange Flavor."
1854,St. Dalfour Black Cherry 100% Fruit Conserve (6x10 Oz),"Black Cherries,Concentrated Grape Juice,Fruit Pectin,Lemon Juice."
1855,House-autry Yellow Plain Corn Meal 2 Lb. Bag,"Enriched Whole Grain Yellow Corn Meal (Corn, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),."
1856,Soda Ruby Red,"Carbonated Water,High Fructose Corn Syrup And Contains 2 Or Less of: Natural Flavors,Concentrated Ruby Red Grapefruit Juice,Citric Acid,Modified Food Starch,Sodium Benzoate (Preservative),Caffeine,Ester Gum,Red 40,Brominated Vegetable Oil,Calcium Disodium Edta (Preservative),."
1857,Celestial Seasonings Sugar Plum Spice Tea,"Hibiscus,Roasted Barley,Roasted Chicory,Rosehips,Chamomile,Natural Plum and Cinnamon Flavors with Other Natural Flavors,Ginger,Roasted Carob and Cardamom."
1858,"Utz Halloween Bat & Pumpkin Shaped Treats Pretzel, 20 Oz","Wheat Flour,Salt,Malt Syrup (Derived from Barley),Corn Oil,Sugar,Yeast,Soda. Allergy Information: Contains Wheat and Barley. This Product Is Also Made On A Production Line That Produces Other Pretzels That May Contain Soy and Sesame Seeds. Made In A"
1859,"Glutino Gluten Free Pantry Favorite Sandwich Bread, 22.0 Oz","White Rice Flour,Brown Rice Flour,Potato Starch,Skim Milk,Whey,Corn Starch,Cane Sugar,Guar Gum,Salt and a Packet of Yeast."
1861,Kahlua Gourmet Ground Coffee,"Coffee,Natural Artificial Flavors."
1863,"Folgers Black Silk Decaf Dark Decaffeinated Ground Coffee, 10.3 Oz","100% Pure Coffee,97% Caffeine Free. Bold,yet smooth,Makes up to 90 6-ounce cups,Folgers AromaSeal,Kosher"
1864,Millstone Hazelnut Cream Decaf Ground Coffee,"Decaffeinated Coffee,Natural and Artificial Flavor."
1865,New Stash Herbal Tea Sampler 9 Flavors Variety Pack Box of 18 Tea Bags,"100 Natural Ingredients: Acai Berry: Hibiscus,Rosehips,Lemongrass,Orange Peel,Chicory Root,Blackberry Flavor,Acai Flavor,Acai Powder,Licorice Powder. Blueberry Superfruit: Hibiscus,Orange Peel,Lemongrass,Rosehips,Chicory Root,Blueberry Flavor,Blueberry Powder,Acai Powder,Blackcurrant Powder,Citric Acid,Licorice Powder. Chamomile: Chamomile Flowers. Cinnamon Apple Chamomile: Cinnamon,Hibiscus,Chamomile,and Apple Flower. Lemon Ginger: Ginger Root,Lemongrass,Lemon Flavor,Hibiscus,Citric Acid,Safflower,Ginger Flavor. Licorice Spice: Licorice Root,Cinnamon,Orange Peel,Chinese Star Anise,Vanilla Flavor,Sarsaparilla,Orange Oil,Cinnamon Oil,Clove Bud Oil,Cardamom Oil. Mango Passionfruit: Rosehips,Orange Peel,Lemongrass,Hibiscus,Safflower,Mango Flavor,Licorice Root,Citric Acid,Passionfruit Flavor. Peppermint: Peppermint Leaves. Wild Raspberry Hibiscus: Hibiscus,Lemongrass,Rosehips,Orange Peel,Licorice Root,Raspberry Flavor."
1866,"Betty Crocker Sprinkles, Rainbow Mix","Sugar,Partially Hydrogenated Vegetable Oil (Cottonseed, Soybean),Cornstarch,Cocoa Processed with Alkali,Dextrin,Carnauba Wax,Confectioner's Glaze,Soy Lecithin,Natural and Artificial Flavor,Red 40 Lake,Yellow 6 Lake,Yellow 5 Lake,Blue 1 Lake,Red 3."
1867,"Dogswell Nutrisca Lamb and Chickpea Dry Dog Food, 4 Lbs","Lamb chickpea recipe ingredients: Lamb,Lamb Meal,Peas,Chickpeas,Menhaden Fish Meal,Flaxseed,Dried Eggs,Chicken Fat (preserved with mixed Tocopherols - a source of Vitamin E),Dehydrated Alfalfa Meal,Pea Fiber,Pea Protein,Pea Starch,Potassium Chloride,Salmon Oil (a source of DHA),Natural Flavor,Tomato Pomace,Choline Chloride,Carrots,Cranberries,Apricots,Zinc Proteinate,Vitamin A Acetate,Vitamin D3 Supplement,Vitamin E Supplement,Niacin,Iron Proteinate,D-Calcium Pantothenate,Thiamine Mononitrate,Pyridoxine Hydrochloride,Riboflavin Supplement,Copper Proteinate,Manganese Proteinate,Folic Acid,Calcium Iodate,Cobalt Proteinate,Biotin,Selenium Yeast,Vitamin B12 Supplement,Rosemary Extract. Premium dry food meal for dogs,Antibiotic free lamb meat,with no added hormones,Optimal source of protein and amino acids,4 lb bag of dog food"
1868,First Colony Organic Whole Bean Coffee,"Arabica Beans (100),."
1869,Mugï¿½ï¿½ Diet Cream Soda Caffeine Free 2l Plastic Bottle,"Carbonated Water,Natural And Artificial Flavor,Sodium Benzoate (Preserves Freshness),Aspartame,Citric Acid,Caramel Color,Yucca Mohave Extract,Calcium Disodium EDTA (to Protect Flavor),. Phenylketonurics: Contains Phenylalanine."
1870,"Brach's Holiday Mini Peppermint Candy Canes, 110 Count, 16.5 Oz","Sugar,Corn Syrup,Peppermint Oil,Red 40,Red 40 Lake."
